STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
714131;B1WVF68;AT0000730007;20190318;1;1.0
B0704T;B0704T9;AT0000606306;20190318;1;1.0
466160;4661607;AT0000746409;20190318;1;1.0
AT701B;BZ1GZ06;AT0000BAWAG2;20190318;1;1.0
528983;5289837;AT0000652011;20190318;1;1.0
494340;4943402;AT0000937503;20190318;1;1.0
465145;4651459;AT0000743059;20190318;1;1.0
690433;B03FYZ4;AU000000GMG2;20190318;1;1.0
685085;6850856;AU000000SGP0;20190318;1;1.0
653323;6533232;AU000000BSL0;20190318;1;1.0
671574;6715740;AU000000QBE9;20190318;1;1.0
663710;6637101;AU000000NCM7;20190318;1;1.0
655135;B28YTC2;AU000000MQG1;20190318;1;1.0
607614;6076146;AU000000WBC1;20190318;1;1.0
662460;6624608;AU000000NAB4;20190318;1;1.0
618549;6185495;AU000000CSL8;20190318;1;1.0
608545;6087289;AU000000TLS2;20190318;1;0.35
606496;BSS7GP5;AU000000AGL7;20190318;1;1.0
697972;6979728;AU000000WPL2;20190318;1;1.0
671034;6710347;AU000000QAN2;20190318;1;0.49
621179;6211798;AU000000COH5;20190318;1;1.0
627102;6271026;AU000000IAG3;20190318;1;1.0
621503;6215035;AU000000CBA7;20190318;1;1.0
636586;6365866;AU000000GPT8;20190318;1;1.0
662615;B033YN6;AU000000DXS1;20190318;1;1.0
622010;6220103;AU000000RIO1;20190318;1;1.0
611220;6214861;AU000000ORG5;20190318;1;1.0
606660;6066608;AU000000AMC4;20190318;1;1.0
AU01Z4;BLZH0Z7;AU000000SCG8;20190318;1;1.0
620701;6123451;AU000000CCL2;20190318;1;1.0
614469;6144690;AU000000BHP4;20190318;1;1.0
658508;6585084;AU000000SUN6;20190318;1;1.0
AU10AF;B61JC67;AU000000TWE9;20190318;1;1.0
682112;6821120;AU000000SHL7;20190318;1;1.0
AU502B;BWSW5D9;AU000000S320;20190318;1;1.0
612922;6129222;AU000000ASX7;20190318;1;1.0
606558;6065586;AU000000ANZ3;20190318;1;1.0
PA061;B29LCJ0;AU000000CWN6;20190318;1;1.0
677670;6776703;AU000000STO6;20190318;1;1.0
608625;6086253;AU000000FMG4;20190318;1;1.0
605156;6253983;AU000000ALL7;20190318;1;1.0
687326;6873262;AU000000TAH8;20190318;1;1.0
AU10CH;BY7QXS7;AU000000VCX7;20190318;1;1.0
611571;6709958;AU000000AMP6;20190318;1;1.0
AU0037;6198578;AU000000REA9;20190318;1;1.0
665760;6657604;PG0008579883;20190318;1;1.0
689933;6200882;AU000000TCL6;20190318;1;1.0
604199;6041995;AU000000RHC8;20190318;1;1.0
694883;6948836;AU000000WES1;20190318;1;1.0
654362;B70DWB2;AU000000SYD9;20190318;1;0.49
612000;B1FJ0C0;AU000000BXB1;20190318;1;1.0
AU506F;BRTNNQ5;AU000000MPL3;20190318;1;1.0
618041;6180412;AU000000CPU5;20190318;1;1.0
698123;6981239;AU000000WOW2;20190318;1;1.0
651122;BX17Q13;AU000000CIM7;20190318;1;1.0
AU10BG;B87CVM3;AU000000AZJ1;20190318;1;1.0
616197;6161978;AU000000MGR9;20190318;1;1.0
667304;6673042;AU000000IPL1;20190318;1;1.0
651200;6512004;AU000000LLC3;20190318;1;1.0
616150;6161503;AU000000CTX1;20190318;1;1.0
624730;6247306;AU000000APA1;20190318;1;1.0
645800;6458001;AU000000ORI1;20190318;1;1.0
491062;5596991;BE0003739530;20190318;1;1.0
400169;B86S2N0;BE0974264930;20190318;1;1.0
439155;7097328;BE0003797140;20190318;1;1.0
BE8041;BNHKYX4;NL0010832176;20190318;1;1.0
B0LKSK;B0LKSK4;BE0003826436;20190318;1;1.0
BE106W;B07Q2V5;BE0003818359;20190318;1;1.0
400500;BF44466;BE0974320526;20190318;1;1.0
